pid,score_plain,score_enc
10,2,151017882152767028440507299333133159723496111613351435698797185959225344786831920367329645902647504302601405215239869097370776259097178808600632979530049813380747614319922579173586891591481936478151963632501784271271540292764145372761395468930633575558109364505125370092377317095755936931895651142963466394023791469187268052977095262091655033964822480573662216166013238776397707057118305926256531152556550268143881143735165773394939298412976649455911316419151292521380830598890454433800786666412130307939503121991051249391895424224925131295971776335173295637022307646166416182245282621446598405290420686296604322716750988589640279402319506716422364473436631650891585842696408771495431464152076248490035595837850861827005138911535613525582146557390560268048907898184087104466272488404896738297104840490584839470213672639969638770125984610076339256894777623424321282011688608481032119075260015639144436196043078968476019416605888264016524060350226744414445478971946788852284996318762852937024337837806088503765670961776481405435878373720434549587153785350615002041350587127651272387136502914546624916196774334323782303428024681348949089591464168927076222622889007136679408274058076221044080771806025551935962055639041143269298565173753
11,1,523767976169119936358839308125230608779595283458481579376250803229114702649255015167424166930773074536783774461797489933498917909830738913123845044804847672341941498834738820226018892049816705464737902485745388597832961709525723946425044997839090778383564607339820818867386177853080707874538075681622384585767053465153912400154864970973336128347735751574290152259391092356190672244496064814766990897527243969502686550247925679686544934432322136896030591593672160809566588214068762075587984753196471490129926784223028006467525106292845961678227385220139120969763569560719474590424652280403665470299131964059713019213489550198657879076381585080004962604137463239754920322877583846851260358784057088316454987573752831395748957129543833101557922936688673518986897090953022602497750112988930402624952705131435604531103886338680002465516006236832872029994062344171841488614956906525616375124345142132478599832566221808041786149337907313311842149941611431990364543335048057820389233828962583886504423121166861957723983477430619913520654505418530132356817105196576418759693456493485249137277013521201421170318588208922365265812993552309994742958581357682931251247090157417012498648621924738646028724290567404443870698940565807030995636781688
12,3,62681246641287429387503182266199532705316170484979981255478179197987696295951918019515899159878508691279888253600334611839770049251115291895633535301498258330304216808493882697866195824678749729294264286109437331479184241726719973729583662988199371292428105334296133412186264717775172770766893131800809796926410698694496051155347089024453741169802461075244912181126844783112557426453028710539696293082482856384903187150195032364942589917209748295854926348223722612091064776413299195461650965081461216641296877168139377755685216869528246986234821298954643956878833597251938927361150698323515514977403098729199266094073163857297806573874682648508285582635631965318077278999565344703356574474644300791016153508498355859566652032887251565892278034447372676688510802412616579427729177083364310109585842435786474915768160093730940793367426953032632477744590875486223019876802605148633610899312490425669132534540809554506199777865642242068164223258892698149588568428607290478533562288260216316812286860916855282604327443059331289318507201956240301488398231791797558129802336447903238695489675150460932675298367934931522079135623541859167027241234003941801027273806456864280348742364672672795717417644599595006637770982464605790940571333402
13,4,616301505612546160647511609454447983285470593346261168719728255326119471409977765393919962261199642024237031594514991478818824087510488070149028467355965914309328903027172430246081345150398466282133794070818205330176580657611253647745230084925954940889725717005044033095558195272713729999098561881214144059266117782962394483036285142920774867167400201198076405566687785547360128516068725571697159083139624563124962983729446804883285152945869118268851160348507310501457632353000699223189111334296144378549958915545780567474383801368775704860631586267893773653598127954585137369186486979889818908617637418092705035112423634554697224664158132251653726999773782518709757641525028042238661496824002188759651788817155923983328756112264580383375330724466388481824763051529472462734632331967980872103037155105117082925141126627573350915767025548744667052257007125223494104487008082821312518758454188238277492343804176321255844300476163580034696797907504681258360155821344823563195125590634124899383986778249228231183180412627326161183026720209957237951733767942404810160249649628772395755708714647906348403806327843605223529892241984470968438519657495960493218854518362397766098092960663145337177674931562399838255422536007058047003174303896
14,3,560912603241394049824606046864415773571218264124037074761948378221578301965499937249471724848755682024790840059694421580105305711186224702525957415787665570802545222581079316608788281819986989157882636389506690962961806962887887006301786074511669092451977803450602940429932565690635167347028491256409597326354310202933445131084230981798368347466301432371985896547732375484025764238832457057064565826971622527976807116618996975668722134980812284779961652841304789619300442747546945438159435869323325853072017861107133829132770049282427968789825484639609675976546393192035560368280662824263642816493462289091270969090984778313179098322126368136474629534733754476545553936913815168478466735710244316443358305432407519146834194060383694278503406081026021717538090094705362158191355800438198696843083629010890405881762952062227872267437259716583499777714759445323382092294062052542276306325937788662188571204823051418890600794171908988557437424162001330273060927136035742285579983198873228769456846895014611722145668620679679826690699656538142140878818989353558939665930693211450010373803474803672962782110433128067425668783425430752754443443554370742980238140002840477309022821477279529288233059208210535692971897055126931359520580047851
15,4,472549843401983348423598877316878521047489600909698017876223547059396394772682197834811554452871399705180834003729445599460415105849041364975291723689445780402088588788140580121777665275686252739060345548048421452673298759889449338310652174919780689843374243328389914719611872193465560592738435520456540506051683004130745162693898895306605289108152896748552019005034852463898425627881635096522143794765038206113543131935877800602600289366596784133379717595610009801672683314638279073369244250741616766228282398703168363674747415602837262912245236205457908722674242015294953822413883371670655439048668095505782670948844606350845117591997917926593433531007705320105631961985007152793483099763953701546764138583593761563861757552048882277021528111100308325094960592489800786180601867327544776374791562102537171068549130609563544294845793018717962627890751036808081372082035206637282008121353352532972697530832982720298889311555138256840798071259885151446094775636674962333438344872230810525660794914270448654271496058350579878677115535430383319977144192138489778899923436760613103899962737575303225103050985155204813837424926234064905903312551515540729382624564992322309338432185221951362688063700498458687230754670687184938037033403481
16,2,304487397888966765565795000377050054072444387405807481465742285651077469829620758489213667349370262835241663179211187961007484565812437642444194137816186702816447824373162282147184014178123574576089660698586041520217198426011111149475174473555597299669654096216155200767475804171619247713981250407845958457603995197624603443356934199531581135941390233890294689889615684851237472799240078554988901446792609448450583025544844398441534168889251686446229528933638071494560210044468051021116541839962912439514279651397579030866872721007909588732974485829636305321182844604704702618843302125146566494767885617786588172815852349290366175888528987306751858544572745894438052356124045473049021931121481002424954543728831076551603020242849929869101269326070675525402689115719791516396877086196121418910395791393150711850358464620136752063657866948015338608693557705860612203492320201227079197273489366036350691551570133444909166552090246992420585150395500186858899596720582690700324270163633585268719166775702612752479248094773213437713489522378606717013753668789295820592723725366939268813751633840960445372109303534088942215992752272944257834478497462408466982042055972182209472291086345290291074564866191669225016149320276293770766079315223
17,3,454310468253354731463652023993042481879932583200897019027099978350914739969649909047516663008427687257088052602112509068925743658325876134723961833916002031951996142940339134934776371123219522187842783438698565127672813038131075599535328219718168272719917913585143277734321980519161138570567703620178463540289397419901092363200680159753165908880286692874887066048693920691979317738058637678062048142560160944705513038722969597469160068955176237684732670754794528265418519900768726107192380582104366873076324227385347374148026690604794262066806171061165794216817771339776229808929456185159377500019204842253505946576576507095476763105275745559805945073701107433567366645890853589057849141360333030301298596763625206963519833093009426082996783130552455316859173962285540839058341348532633154801099824339645179711502823504262432682734130672290130759892177661076056340062330827305611564839390359723595089982324528550224496840193618587166472906752227872534733318843366919304883204754833573159892685795410851626396326693652139846666131930126618891171801180358019411788511976652734520601188807233203205597712649302412405690717101597109419411584240165957431652933533521496163360073386371274083133009050044547951714783837986289446336632467309
18,1,257542380868545259470843815588220989399060899790594681047678059591021546041976449438990055768598342251757649126573109974456795411406102051687974441605869482925679298105812929004718063849680219232030285197859590036239178875356709848855983905736565184517529618279566723795726216151262326388106989146555133932545323354584435138125631648348276018846206588143926888281632641348888015957556889236749301445062576561972257053077442422796003641599200968362852725412220361900761506135226303824441086512247589001296335810351780994878109662446617809219628116462168812679868562136948513414139270458215059431725104183782285115693867833283244352062889525316048492520579905111641578761223992377773991296225784365478526189642439713340132617635134237196459200712486292268265651589315281044761150478672795901573981235389576664558460887962985199033408608647601053766410978075453026179290982151570559184456215006817157319521393920994853709499456853283839989552703897135212039760475236476389562584903831201240388316454733063409882655871794307928487661380616935611442186704417043471221523959155021407001042460962759504003962706735971856574474882912892211385572261943994490828687422427649638981934474359771075550364289645897915882215225240501514766273242306
19,2,62230250051472452588025754526651354037690460440363463486563680185223565411173188671341219035942829056218601126522380944423123954715501309961595463579644894286289787006472080244604409696792044160932475930073187313629458826445394065880023647962758718328945540812222553334003932848859575518205841155977949820913988512367568427756350998635631301622720281323086227865159961515045332276206047235280914840143751431294808204908740089058015805421139889336970231400329496107527591914034908810128095797862416939412561106704916339325878543900230855622696564030262190233208372218455734128150343238119253501841931639177278217981539219151831575138603512340324273866802923339222724665523209433436147088338384753596405166930368253364325344158323381897125488783050554032594617047352495981581623801022966349269051233263885686988580715772062214792820095868267234316500209282046594309800345282088542065652648293302319932956049869389764272641585463047697478623558525646815398375659553156511945409977498862201890834111769029999124499598982834395306036558641600991162007268358006306375068074328154776727115523602662462552063522168687319414452432036250489266037168510178546846502021779209266656779340957653290736791709098428084558194827171288096792743688977
20,3,775569390115454553094149972035926043515329860970957468449220916389919276012803195430761197402572665213630878037064578495334790464997768012532893841561396441508726782712600275224312446086771406121429633668452138411892872995694278530864967604095055557971575577205744350696149811263965066550260477674760383493043464919718461094567652648828867795274298182180616276407032494489111121560476133189008366293254632978503904637735135122863820902506417944916388486489801012623528805022020715119219666672160088002349253916628572094508584404250518365605767066117009820032292968124775232180698610256802265146065090413617800083713358119857015987439426625216456312594962031284043992549986163118957209927611878717344895677161834454576677234106274818704290107755003823942140807589099769756378636863628086127309080810019249254694640767086592488502360269943701443786600396518807673425095318295281478885728274815972833130842501651208585748317944447904559514966138381075908253520514511473411342118061164104466127704150212498644663467030816401185856457415246804565281490421303581191143061703362032686294448597937604016985826150943709415586320668095551493452510160442974842127229442479194277696321829315619126135827693420907425121484173242051558923186941920
21,2,68174622925463546320530394612559653591628666973559216587024782187926646197449411462516668754215014016564619228703697189856070869204501179503781679052213178553370287784658865084786948855527037810643689997894384726324477279529590160140486264177409103056489170639622868805578773152107331604594406816651032942138140291300862830771222129742535839528674209059914671376699231475913155864175917829407206912314131190660231539356198880086396878577642805160852536243829611052568231220244478863012928372726720485483587676164266888712338901929242162907770845239443238628881568885621709668995968250257684252844837811880196206051656244592804650821512976174205834521678341990805729852446730489942489134985457819215675734826725970303125921698663298998194768934008049584929249949635266361979050796924933139379331827885588360524233470765484266677395491790965249554397845814057091933423482473673875313692851145102716938479450506980341141453826916682948671041813130296596379658009850026063785017967916477430826650670367509024569061923794006732773613933642578898774784871625767446005576150498647183385094210466755685051146825278213843265165564716509422196330945320550533631351978870724240605283204109149063852932712412099374479879075819615710918147019568
22,1,58015918034116261259757914647368025389763389004950339410037772485830181487554770573366682258286325501127495400918754005365937520757103871077615360191888776020011330463088875310816429585046213164150649731817246803221454527398864291358805466041448953084421782744267126898073302047323829696944855333101464866352811533198796144303235659890780920779907999592375841500432827987995041619689611397875700893792448405853536125762861247757696415285995423490255454653817871332531669923857379960918545811623659689786534424743922139053476124496352691356418147062651390934728250493839929981734192970046387321448522841398432727080947677778758827345030472028369093559422300658725664573722493996318260488493151574502953691325289900430323245322069540619110189341905934648560361931611668724379408913636997001026884650936433217975631654662267734810725709242626480640140251325125005894214476443357418694099740192473282235913621784350099378929249308000641501841367220999576681650914662809313786853067940767322162311555082284097673209968647651004893058544098594899699909410792800624924576395987380698556432187330331764910302601625482101001928735245488338185319657848202834619537236791209585092103882794631659592035154686132747668992510255948936198973511388
23,1,175617849172299155339389785816970547268199129910460998451561653125000096599400830402729896982643628119918758193499818778777187958068857290374777846772467714867798377464327114514352663415529861408041809494279493257562996507801486618017499956221623503912068044276587549216771744663275912278687074672759673530273454939291584838862448068852542959620074511808289382674067401746930491879180719027042069020096586119580531304403700675207588926330497529034674411956703071531364613108561850467196740020990681608155296157948966060697800190595296163839166212143324861132123275784030874609560182841217843182832957408023079726134537410660368407753117580487512024058535172167612413804063815856909235067041404072968535196531135461214179465316563899550620949928105962452016830980798709557629288168766765732082941027980984100903618293686402572659531705334304897159826751171244213452468039514675584904246117635190930712751575606695053339093600703931494504375911168722633061070721038470491533323377509688527713176250253417569129224165729345515649418056949708318545868261990065340492136487228632245181144304290996867798071214661602737212794717073926045517566642154631530186484398465742217820264275072750383229644611176383335915102619592951066280409372896
24,5,595736972231390637391882064122453464641394739809047310910198355235747542378901135480028883640404618858125172509822555652158759028067540960563310766252165654934501015295556768293803784344914376282030857365228781732408763717471439513536197003162371280772866949278873125794913204827193474953685088722774582559107799947020694701963094843916229358414645094254033204077905443056243310477762662233548514685231978482603999232426302644157014538310508198830752467143929248103500297022009865782032094508912225934547829445086502551846380243290566327902328442316941838730912727443935383734138222597151432149516110047454318088487674517545516027997004866135616281354342686980629499118484979949450300873531738397697179471502854396100634154705759280498901932446538037553831523370880009072078614985049542476784790121706461629580561399539212846869012026537169187720199251060951033400405328129756877282712842701149391051545524629290563553684073040147079570546946339110403252063192294200444220917413060062354418451236569178198023470494520406526268136979460026899530295612190362736807020230365275117697630162316048189872998713137648823247275356581898323973131606770978321721402879382344777275709821238893410712972586430536613820559586290164260244012235632
25,5,804438590358576405074265163166522736719308187271982027497746898308681140529689865912227212888354232936190299444730614410460625983073082205992316140590645595269013815983465966010337867310189080395574190740737941321251615599411592894741545145242619065474771494499438112904267443922560720879280190815891908341485849701383598382641263088822213600101565516141086661303028454341187272377843909038833187030295485342020811411566098674971897166257564314645079531791197422438649162061079626397407156650380553693650652327329658432496559522175871462171283877502790719143321838545544532178656897151145443054173584941456168699730986731982846951874667364660435891493814517857041196782611890512731060067856441422985252624364285975450539177041194049719695834168071195180151033114936916117803687876332359955927625047778903908059906731646707638158278450310007515090107588649508143793389070291822720741159797198321268460436106837439186571693278200905054889782445765908335201504708087947498373527930462412798171486263848246628346193363009601020955268292934829161785488861463838200696182522575734626984980523249657486316161670577886002941875607832848982207372607611915987764559886498711838523429944116120690111953621445202107274923712088157077209613054148
26,2,558189997353498735920880231764369031755069746693076617793888209357789043239948248349346083507235133508560348034613331725675318310976596798404809685388979293406582377776950171051902528704827289165682996624570257889791257402965802645437954364875615573355369052602429918313567258153958082992322983400797934733317489633532531135247432101481316055875744529102057132518711758608752694871615026249424153599298223564191636638876380954887485865276365181402935110340232903249005912979543812258437957791414898600087236035875687731443198658885761773151770691887640698524754064065895795695393185045881375070278550628935329688224711961033312549551661989546586499932735987160448601796262619396656798089571944268783016334585164134027125821527887111736295104973158937668305052195460421733314547702383541394990054325487010619755521058003711404015116349024818024272634599468771482236667864772950983445074012189532983620755459759172774526538065305643953946114350713283048619368069159027915665923391530983361937263408465636863279618448411663856051727312162386598769798041915197997392594215950897848539615924296560527231798237150709365161179765086474424532970239086171788025268923444236047346088758319096658243459797502933500235188166716001108617609302793
27,1,277416476786268298166235841707017528964437398630903051737592983468152713951329709155325756185936203148746539458695807172210546763136489291008929560457288481257527979601246136586027641465223731573873263781036725744166649255046990572302667675316323396667293548357163790117625236808520329268411800901339553040377863009339556628586315577505289040443785134841380533889637036419656242804355348285831022732122309721800472318901743451351738019627186676574442498291561506625872590448893693943192272154995870798467572036521150504560784615138217740914618082880481976682902174814751111850360568412248909643420606401436861177296449103072964854811739227684865143614948975876820843738422624653169429384990418905995988582553020586639564224805698036232405306079613670610093499767727573200699983672496361534477355534970107832860842214278194298745459995542030045889859233369006813222488379847691886784329333075741127239664677032222934605256488093368800929034150606840451917648201389180090739196767479854206722625081356782342184422708332920901756474283038035947022945388024290382990670731379870210633756882296821736547388583786934400406213237424616362559498483134349534587420276494902092907116893494655606337912836265749676176009606631246354640994666585
28,1,702424068942948759329630086127353047726754903455897972653028768841729691210054181232033623170267649213868264629277015021199224044883373020198400145958911118810017826102513037232494047493187499845567005305455948492715650580609642540903582056971265375474617705510816692948320443768704678711505966468904157485407919097169341409904215263385147224349029871117079479547886609414793958049527546966338856860056816449570370773816748971857620636995913278640603372256116502159086015679574673277444701399837036583930560791087278364163011792219452997213550484231857430732678558227935136636521927043955676393559160134674024758936004888687147049210900772040790344278459160709916248465929010364408137687396847693849273384375465161234718671131977978930898618292022413382615844458273737185780787206893363180318421912940726729624593938088306295436078808386924804213099219277346131026504836642650401053964749440217862823790109143746422620574247752257516283613971412239076534904601887117129526917235933028576798560510565069418963580235432463228047465007078409752159983084546171623320311131671488697242248451772487412610704178008869810938847412629876144173505388040456202355349420686577370979463485708751256162543930858772150244778343791744720732017173769
29,5,686943956602705910242494730818951890294286454832022456713787112903964906139586816329383175685079480743609369569368926027397353274876052792331033366931762435967305024422647019938465622603887654536202115307199863002416882066518567922198705094439656998838905033588362190420689466040049949370482930139988298712635522799203751031110043649422243174144012230358978270659860249953251128994874788222838158172749506499373129239645151406861389922175580059157297522476972919854938765219728572448736136675641127788647072095436869180688169422615505396293509981592779788822189073571184479696254012807249403153210433088718300897511286089373998848774794547182535311036799243769303677297507065507996647912197516729901995127608318390709808993714362226306663385791678940840509555111998219846784645188504123548269381148416682718401230963579946068471173963580595290089874653129857976643849769618344227967607867216751200585928126564058723338298688186638202305759197607333096609007942160699423709748972308709980189619271760235911449054519407861781429317965834799430117794675387878205520453560609559038322335239355145213760972897502331061656969839725000528893618826096022186920328538584495152343043145195213710110268292673167190650244579169606233522238482193
30,1,483507347700793371841481971504661108844311116470853326327413005454023770564756796768099968590501710149759969230695577918680927451750746411721267502085677397160060018002269445451046867503569166797316013347325820591263886761057402275551944453442759462165038895434921114046539747629015052135934922219736785699543007154095461643544453935202999457887706307359001695961676472237611018012563042772552582507146309381261521825404650585315146664273198384070194158462870554831340783937526415375136041144449965915509030650084171284540026627846494869890520805999393317334029121044811649992970750578241476439861183779852421505571332029453258082051035042288827006110336946853616255408261353913298815329987489538893378815496714807650136464820040860775204671650022954897141301602310791785436724250600034382480730202214957210205068166906532744635823359729614823237789083184183254887048052027374871218460078951513082031395324248455931763600708635853082707262303261026072485131918210762159691440299264036486982553899600180502674780325147307124078185542313518944932656891413498043833912732847186537715484253283934778749828531782025568301036317953328524815567462470918087946389935496340411055359370689283491518563551274165157632836876674706045663485702675
31,2,79072791481188791333138993279468225375296161432633280983876903232936788178064518632187452671793949313245834701092735960069652905125894235005037754863940726821001639213959225751341232188301337335470895465570843173582150565648088548418708703252706263687246671166572282428377101640394384559090063043611365666682148099812733743696307813611005042943813692812842406446847096557336678950839445240568286346232574655411705921505525650843098753140662822386588007174524398466985657477923556989297388071972573614018103496937954827529039952739741598369909517081813785626645408110429690060545998752329915362600581187114956389286266710137598364249326041414553366611846501646350467519551421787448674695867519605898974182603893958809913474928351100671997059961018854310578252390602339477814671924111431937669656155797778542885395570482021807852461133448853945325437367371603996876453412150856133397780926767419860242331632309505466272477855128321989565277631966143752205124655697088364275428513822437646760704363857126327280236418430809927304203013692026682283023501132734659361992509464918260949818087880440436322768342732067725955025801592739614574597606875311974676864479908047436121991649009802590807802760238339352282381138684629717828836304077
32,1,551709683486135243146364226272610386952481308370598329163859569821536890533178836078172673194726048874046688848228661916162440238848077566476267712543369412657771879480752795846794858702960878664355940647618133706999992432464243767876511034006925231803033837700333160758078986646255510605026170527542181723899442075355400898629711515547889612708369462254741207427548901505664427791031352906022107254812236296556770523266241098265543534978258519856195349756130397558684281609522946137815806063404776016050693714033479446946990852668466528992011141606153761197607160250637238278420997773930789891394083121621224369115589970608462210432945041383920187847647230456483131396821167576944550362232438444596150289746098935091215909437508096173479517073691814152716484927933592453636619037138838782891414024271532456093623398328603217332934243299132700469052339093766808003022730861539018607896346221343249099171333786972314681666365555609786124018904707862777480933669600582482227868885468598243470183847763890756825630501809018951656292443292739580213754216319189318233900305887217522755650545465631178804760335697637884192002428509225785504206323212259715675854712191418525708507859763787484830095774414957674112250626747577806962834727672
